                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     53,                  1.343,                 1.4393,                 1.8746,                0.89234,                0.66145,                 0.6988,                0.55056,                 1.5038,                 1.6419,                 1.4333,              0.0004852,              0.0004852,              0.0004852
                     54,                 1.3712,                 1.4266,                  1.859,                0.82294,                0.65407,                0.71135,                0.55029,                 1.5613,                 1.6611,                 1.4823,              0.0004753,              0.0004753,              0.0004753
                     55,                 1.2913,                 1.4417,                 1.8491,                 0.9154,                0.67144,                0.73621,                0.57789,                 1.4588,                  1.465,                 1.4343,              0.0004654,              0.0004654,              0.0004654
                     56,                 1.2955,                 1.4416,                 1.8496,                0.83934,                0.57484,                0.69863,                0.53738,                 1.4937,                  1.603,                 1.3949,              0.0004555,              0.0004555,              0.0004555
                     57,                 1.3128,                 1.4324,                 1.8663,                 0.9163,                0.61595,                0.70429,                  0.562,                 1.3531,                 1.3785,                 1.3781,              0.0004456,              0.0004456,              0.0004456
                     58,                 1.2403,                 1.3635,                 1.8677,                 0.8651,                0.63106,                 0.7115,                0.55671,                 1.4034,                 1.6012,                 1.4277,              0.0004357,              0.0004357,              0.0004357
                     59,                  1.268,                 1.3867,                  1.843,                 0.8845,                 0.5993,                0.70787,                0.53079,                  1.596,                 1.4613,                 1.3574,              0.0004258,              0.0004258,              0.0004258
                     60,                 1.2625,                 1.3577,                 1.8595,                0.89462,                0.58381,                0.68898,                0.54474,                 1.3824,                 1.6219,                 1.4021,              0.0004159,              0.0004159,              0.0004159
                     61,                 1.2822,                 1.3388,                 1.8439,                0.87299,                0.64097,                0.71474,                0.56372,                 1.4284,                 1.6136,                 1.4428,               0.000406,               0.000406,               0.000406
                     62,                 1.2749,                 1.3693,                 1.8515,                0.83808,                  0.605,                0.71593,                0.57967,                 1.3627,                    1.5,                 1.3873,              0.0003961,              0.0003961,              0.0003961
                     63,                 1.2515,                  1.319,                 1.8302,                0.88083,                0.60811,                0.71952,                  0.578,                 1.4114,                 1.5141,                 1.3949,              0.0003862,              0.0003862,              0.0003862
                     64,                 1.2951,                 1.3372,                 1.8339,                0.84676,                 0.6401,                0.71649,                0.56709,                 1.3706,                 1.4859,                  1.378,              0.0003763,              0.0003763,              0.0003763
                     65,                 1.2337,                  1.297,                 1.8334,                 0.8862,                0.64813,                0.71705,                 0.6097,                  1.231,                 1.4134,                 1.3508,              0.0003664,              0.0003664,              0.0003664
                     66,                 1.1827,                   1.24,                 1.8403,                0.92498,                0.64061,                0.71673,                0.58899,                 1.3295,                 1.5022,                 1.3713,              0.0003565,              0.0003565,              0.0003565
                     67,                 1.2034,                 1.2989,                 1.8439,                 0.8798,                0.61721,                0.70975,                 0.5697,                 1.3687,                 1.4825,                 1.3859,              0.0003466,              0.0003466,              0.0003466
                     68,                 1.2505,                 1.3129,                 1.8391,                0.93756,                0.61511,                0.71849,                0.58231,                 1.3223,                 1.5334,                  1.355,              0.0003367,              0.0003367,              0.0003367
                     69,                 1.2236,                 1.2728,                 1.8237,                0.95007,                0.56423,                0.70832,                0.56652,                 1.3439,                 1.5162,                 1.3476,              0.0003268,              0.0003268,              0.0003268
                     70,                 1.2179,                 1.2616,                 1.8366,                0.76424,                0.61144,                 0.7177,                0.57504,                 1.3474,                 1.4642,                 1.3751,              0.0003169,              0.0003169,              0.0003169
                     71,                 1.1787,                 1.2077,                 1.8184,                0.91913,                0.61713,                0.71707,                0.57025,                 1.3431,                 1.4122,                 1.3424,               0.000307,               0.000307,               0.000307
                     72,                 1.1935,                 1.2146,                 1.8209,                0.92064,                0.60941,                0.70948,                0.56403,                 1.3541,                 1.4789,                 1.3587,              0.0002971,              0.0002971,              0.0002971
