                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    131,                0.39627,                0.45253,                0.87442,                0.92709,                0.81754,                0.91793,                0.77031,                0.53711,                0.36783,                0.74419,             0.00051904,             0.00051904,             0.00051904
                    132,                0.38492,                0.43206,                0.88198,                0.93896,                 0.8046,                0.90597,                0.77298,                0.48902,                 0.3459,                0.73484,             0.00051604,             0.00051604,             0.00051604
                    133,                0.38238,                0.42993,                0.87048,                0.93155,                0.83138,                0.92749,                0.79101,                0.49782,                0.32381,                0.74909,             0.00051304,             0.00051304,             0.00051304
                    134,                0.38315,                0.42664,                0.87246,                0.93364,                  0.829,                0.91429,                 0.7804,                0.50458,                 0.3357,                0.74622,             0.00051004,             0.00051004,             0.00051004
                    135,                0.39195,                0.44657,                0.87347,                0.93253,                0.82716,                0.91413,                0.77621,                0.50049,                0.33046,                0.73743,             0.00050704,             0.00050704,             0.00050704
                    136,                0.37559,                0.41898,                0.86558,                0.93218,                0.82249,                0.92663,                0.79004,                0.49575,                0.32148,                0.74166,             0.00050404,             0.00050404,             0.00050404
                    137,                0.36684,                0.40168,                0.86333,                0.88666,                0.83073,                0.92617,                0.78768,                0.49975,                0.32583,                0.74879,             0.00050104,             0.00050104,             0.00050104
                    138,                0.39761,                0.43991,                0.86889,                0.93467,                0.81718,                 0.9308,                0.78172,                0.49077,                0.31738,                0.73742,             0.00049804,             0.00049804,             0.00049804
                    139,                0.37454,                0.41673,                0.87493,                0.95186,                0.80414,                0.92985,                0.78936,                0.49961,                0.32782,                0.73331,             0.00049504,             0.00049504,             0.00049504
                    140,                0.37418,                0.40384,                0.87625,                0.92126,                0.82424,                0.93184,                 0.7904,                0.49688,                0.33566,                0.73415,             0.00049204,             0.00049204,             0.00049204
                    141,                0.37057,                0.42263,                0.86775,                0.91602,                0.84014,                0.92119,                0.78367,                0.50514,                0.32595,                0.74223,             0.00048904,             0.00048904,             0.00048904
                    142,                0.37824,                 0.4183,                0.87029,                0.96327,                0.82735,                0.92047,                0.78438,                0.51142,                0.31642,                0.74185,             0.00048604,             0.00048604,             0.00048604
                    143,                0.38824,                0.45473,                0.87426,                0.92153,                0.85034,                0.91493,                0.78092,                0.51534,                 0.3327,                 0.7569,             0.00048304,             0.00048304,             0.00048304
                    144,                0.37506,                0.42965,                0.87032,                0.95594,                0.82096,                0.93588,                0.79495,                0.51838,                0.32736,                0.75925,             0.00048004,             0.00048004,             0.00048004
                    145,                0.37208,                0.41197,                0.87649,                 0.9441,                0.81814,                0.93718,                0.79494,                0.51345,                0.34498,                0.75498,             0.00047704,             0.00047704,             0.00047704
                    146,                0.38298,                0.42334,                0.87217,                0.92107,                0.85944,                0.94248,                0.80083,                0.50281,                0.34642,                0.74551,             0.00047404,             0.00047404,             0.00047404
                    147,                0.37561,                0.42899,                0.86851,                0.93235,                0.82512,                0.93969,                0.80268,                0.50462,                 0.3312,                0.75673,             0.00047104,             0.00047104,             0.00047104
                    148,                0.36631,                0.40347,                0.87369,                0.93851,                0.82134,                0.92222,                0.78422,                0.51065,                0.36844,                0.75608,             0.00046804,             0.00046804,             0.00046804
                    149,                0.37002,                0.41869,                 0.8663,                0.93586,                0.83621,                 0.9381,                  0.799,                0.49939,                0.33626,                0.74478,             0.00046504,             0.00046504,             0.00046504
                    150,                 0.3615,                0.38677,                0.86646,                0.92011,                0.84756,                0.94359,                0.80278,                0.49407,                 0.3183,                0.74037,             0.00046204,             0.00046204,             0.00046204
                    151,                0.37267,                0.40858,                0.86339,                 0.9209,                 0.8327,                0.92801,                0.79215,                 0.4959,                0.32464,                  0.741,             0.00045904,             0.00045904,             0.00045904
                    152,                0.35825,                0.38668,                0.86486,                0.95651,                0.81265,                 0.9359,                0.79954,                0.48836,                0.31869,                0.74107,             0.00045605,             0.00045605,             0.00045605
                    153,                0.34553,                0.38628,                0.86481,                0.94772,                0.81295,                0.91857,                0.79447,                   0.49,                0.32127,                0.74639,             0.00045305,             0.00045305,             0.00045305
